bufferRadius_max,col_index,row_index,dem_mean,risknum_max
,0,0,5.08013323879621,
,0,1,5.09555297261103,
,0,2,5.09999990463257,
,0,3,5.09999990463257,
,0,4,5.09698891811643,
,0,5,5.06928876644636,
,0,6,5,
,0,7,4.99434131732335,
2.5,0,8,4.91979759287515,
,0,9,4.90140731938189,
,0,10,4.86074671156416,
2.5,0,11,4.8212819560908,
2.5,0,12,4.8035041731196,
,0,13,4.7857140284869,
,0,14,4.74414832835375,
,0,15,4.6973038946549,
2.5,0,16,4.67564708811596,
4,0,17,4.60010805430256,
4,0,18,4.59999990463257,
,0,19,4.53899893260887,
,0,20,4.50989562162503,
,0,21,4.50128388277321,
,0,22,4.47104937857671,
,0,23,4.42239686887036,
,0,24,4.39077483682261,
,0,25,4.34574437754228,
,0,26,4.30000019073486,
,0,27,4.27765744651044,
,0,28,4.21476350186526,
,0,29,4.19999980926514,
,0,30,4.19945571646246,
,0,31,4.15353936999835,
,0,32,4.10403451567903,
7.5,0,33,4.08085588170604,
7.5,0,34,4.01924687808648,
7.5,0,35,4,
7.5,0,36,3.94959616566332,
,0,37,3.90640893511396,
,0,38,3.90000009536743,
,0,39,3.88359740128983,
,0,40,3.83701664410329,
,0,41,3.79598901298974,
,0,42,3.76769757686579,
,0,43,3.70000004768372,
,0,44,3.69532258143654,
7.5,0,45,3.61756393318373,
7.5,0,46,3.60144325241556,
,0,47,3.58650382630689,
,0,48,3.54007743327747,
,0,49,3.49243829087794,
,0,50,3.45752589097538,
2.5,0,51,3.41510387215134,
2.5,0,52,3.3699519413528,
2.5,0,53,3.34624283963315,
2.5,0,54,3.26754951144314,
,0,55,3.20439001903414,
,0,56,3.19427649055892,
,0,57,3.13615012058039,
,0,58,3.10066833366658,
,0,59,3.06513259523343,
,0,60,2.9970214050131,
,0,61,2.925847725842,
,0,62,2.8931926778386,
,0,63,2.8559455788557,
,0,64,2.77558695721601,
,0,65,2.71074392791486,
,0,66,2.6879892712948,
,0,67,2.63683325779561,
,0,68,2.59620726813487,
,0,69,2.5641739278566,
,0,70,2.48577123537112,
,0,71,2.4131489760122,
,0,72,2.39685726750529,
,0,73,2.35770752305491,
,0,74,2.32790852481661,
,0,75,2.30267032461248,
,0,76,2.26278334375887,
,0,77,2.23414609561747,
,0,78,2.22566192206937,
,0,79,2.22633203832237,
,1,0,5.09999990463257,
,1,1,5.09999990463257,
,1,2,5.09999990463257,
,1,3,5.09999990463257,
,1,4,5.09700165150761,
,1,5,5.06941260062684,
,1,6,5,
,1,7,4.9944578032125,
2.5,1,8,4.91992315571199,
2.5,1,9,4.90143831991436,
,1,10,4.88408432042216,
,1,11,4.84787310033565,
2.5,1,12,4.81389323425212,
2.5,1,13,4.7857648522464,
,1,14,4.74423398628104,
,1,15,4.69733285545647,
2.5,1,16,4.67577264966924,
2.5,1,17,4.60022658120617,
4,1,18,4.59999990463257,
4,1,19,4.57547913273689,
4,1,20,4.52985034702668,
,1,21,4.50488592794157,
,1,22,4.47113835666903,
2.5,1,23,4.42244445834971,
,1,24,4.39084180084272,
,1,25,4.34581370154025,
,1,26,4.30000019073486,
,1,27,4.28196635961863,
,1,28,4.22869657817705,
,1,29,4.20523179977954,
,1,30,4.19945718769158,
,1,31,4.15366499921212,
,1,32,4.10404398280781,
,1,33,4.08096089004034,
,1,34,4.01927815777027,
,1,35,4,
7.5,1,36,3.95969390480768,
7.5,1,37,3.91776100069582,
7.5,1,38,3.9029379914499,
7.5,1,39,3.88363698241967,
,1,40,3.83711358760268,
,1,41,3.79600672428271,
,1,42,3.76781639020205,
,1,43,3.70000004768372,
,1,44,3.69544401260344,
7.5,1,45,3.61768952289452,
,1,46,3.60146928079631,
,1,47,3.59999990463257,
,1,48,3.56442692246501,
,1,49,3.51990724736687,
,1,50,3.48493194303965,
,1,51,3.4424749345327,
,1,52,3.39721640830735,
,1,53,3.37353894480787,
2.5,1,54,3.29881323659949,
2.5,1,55,3.27348953705021,
2.5,1,56,3.269569009889,
2.5,1,57,3.21147109919216,
,1,58,3.17580783016336,
,1,59,3.14025883826407,
,1,60,3.07611108732814,
,1,61,3.01403112843456,
,1,62,2.97801360121861,
,1,63,2.93951071422037,
,1,64,2.87144665408827,
,1,65,2.80776847172249,
,1,66,2.78493393595125,
,1,67,2.73387948234508,
,1,68,2.69313431817239,
,1,69,2.66122199945942,
,1,70,2.58282359510073,
,1,71,2.51010207139459,
,1,72,2.49378385776696,
,1,73,2.44092707011725,
,1,74,2.40066971500351,
,1,75,2.36666436583277,
,1,76,2.30587264151864,
,1,77,2.24916502994241,
,1,78,2.22239235056635,
,1,79,2.21570571830157,
,2,0,5.09999990463257,
,2,1,5.09999990463257,
,2,2,5.09999990463257,
,2,3,5.09999990463257,
,2,4,5.09701438109909,
,2,5,5.06953639785456,
,2,6,5,
,2,7,4.99457425434167,
,2,8,4.92004874405227,
2.5,2,9,4.90146932970338,
,2,10,4.90000009536743,
,2,11,4.86604844227832,
,2,12,4.82101410328063,
2.5,2,13,4.78581560388654,
,2,14,4.74431952265899,
,2,15,4.69736182490552,
,2,16,4.67589823794406,
2.5,2,17,4.60034507274075,
,2,18,4.59999990463257,
,2,19,4.59999990463257,
4,2,20,4.54332495852539,
4,2,21,4.50732141639473,
,2,22,4.47122730820982,
2.5,2,23,4.42249203362811,
2.5,2,24,4.39090888004379,
2.5,2,25,4.34588314477844,
,2,26,4.30000019073486,
,2,27,4.29213161966544,
,2,28,4.26158150568157,
,2,29,4.2176478096703,
,2,30,4.19945865848167,
,2,31,4.15379059093748,
,2,32,4.10405344711156,
,2,33,4.08106607899343,
,2,34,4.01930949125644,
,2,35,4,
,2,36,3.98263294819729,
,2,37,3.94358487677895,
,2,38,3.90965523364106,
7.5,2,39,3.8836765295679,
7.5,2,40,3.8372104478731,
7.5,2,41,3.79602442037,
7.5,2,42,3.76793510153341,
,2,43,3.70000004768372,
,2,44,3.69644053828215,
7.5,2,45,3.63435278875416,
,2,46,3.60842585491257,
,2,47,3.60113617678117,
,2,48,3.56450454725766,
,2,49,3.51996602999287,
,2,50,3.48498776469596,
,2,51,3.44255563750562,
,2,52,3.39781523237966,
,2,53,3.37911370651854,
,2,54,3.32020133434806,
,2,55,3.30279119751127,
2.5,2,56,3.29999995231628,
2.5,2,57,3.24194320417706,
,2,58,3.20611113616092,
,2,59,3.17056148912433,
,2,60,3.11464829461236,
,2,61,3.07153108320454,
,2,62,3.0286449831848,
,2,63,2.98738221187471,
,2,64,2.94991629968114,
,2,65,2.8981553959273,
,2,66,2.86780464180118,
,2,67,2.82149287227535,
,2,68,2.78027702315393,
,2,69,2.74379531535978,
,2,70,2.67807784457959,
,2,71,2.60705518940106,
,2,72,2.59071052383921,
,2,73,2.53793100494755,
,2,74,2.49765533938109,
,2,75,2.46364623194232,
,2,76,2.39772324435393,
,2,77,2.32773437240592,
,2,78,2.28830662865647,
,2,79,2.26748656906126,
,3,0,5.10546391306831,
,3,1,5.10979171613006,
,3,2,5.10408750304192,
,3,3,5.09999990463257,
,3,4,5.09702710607409,
,3,5,5.0696601501864,
,3,6,5,
,3,7,4.99554169069854,
,3,8,4.93320559292339,
2.5,3,9,4.90750687541008,
,3,10,4.90098456378878,
,3,11,4.86612117706852,
,3,12,4.82107794044205,
2.5,3,13,4.785866426015,
,3,14,4.74440517783737,
,3,15,4.69782552391922,
,3,16,4.68004420964481,
2.5,3,17,4.61639193150979,
,3,18,4.60209448681455,
,3,19,4.6000638620277,
,3,20,4.54343574006363,
4,3,21,4.50734711216334,
4,3,22,4.47131610416414,
,3,23,4.42253952569188,
,3,24,4.39097598357236,
2.5,3,25,4.34595261320148,
2.5,3,26,4.30000019073486,
2.5,3,27,4.30000019073486,
,3,28,4.28704885568985,
,3,29,4.22731816388115,
,3,30,4.19946012873837,
,3,31,4.15391613711617,
,3,32,4.10406290798301,
,3,33,4.0811713060952,
,3,34,4.01934083610627,
,3,35,4,
,3,36,4,
,3,37,3.96316933978722,
,3,38,3.9147815314905,
,3,39,3.88371606953883,
,3,40,3.83730729056463,
,3,41,3.79604211324568,
7.5,3,42,3.7680537913202,
7.5,3,43,3.70000004768372,
7.5,3,44,3.69845949442588,
7.5,3,45,3.6710891751491,
2.5,3,46,3.62382293570634,
2.5,3,47,3.60366172443813,
2.5,3,48,3.56458215796241,
,3,49,3.52002480195059,
,3,50,3.48504354765445,
,3,51,3.44263628453198,
,3,52,3.39906035204494,
,3,53,3.39097859827019,
,3,54,3.36075111914226,
,3,55,3.3088554577126,
2.5,3,56,3.29999995231628,
,3,57,3.24205888561563,
,3,58,3.20613183738481,
,3,59,3.17065532346765,
,3,60,3.12060794971218,
,3,61,3.09276823870342,
,3,62,3.05401414589873,
,3,63,3.01192424854263,
,3,64,2.99275376773526,
,3,65,2.96157122398098,
,3,66,2.91562773565381,
,3,67,2.87903381757893,
,3,68,2.83705743223562,
,3,69,2.79087549956914,
,3,70,2.75512132577675,
,3,71,2.69922236324226,
,3,72,2.67328761036684,
,3,73,2.62562692591788,
,3,74,2.58536758105069,
,3,75,2.54887627439481,
,3,76,2.4898116766517,
,3,77,2.42475251994683,
,3,78,2.3837541441775,
,3,79,2.35369821813657,
,4,0,5.12939762018382,
,4,1,5.14179552484339,
,4,2,5.12352859390805,
,4,3,5.10534284998187,
,4,4,5.09703984408175,
,4,5,5.06978402926277,
,4,6,5,
,4,7,4.99790813317946,
,4,8,4.96819812006928,
2.5,4,9,4.92363093907146,
2.5,4,10,4.90362767992297,
,4,11,4.86619383741691,
,4,12,4.82114171226809,
2.5,4,13,4.78591730019442,
2.5,4,14,4.74449092074197,
,4,15,4.69899027685454,
,4,16,4.69070231693333,
2.5,4,17,4.65831741460449,
2.5,4,18,4.60762189325387,
,4,19,4.6002326396105,
,4,20,4.54354663506198,
,4,21,4.50737283424901,
4,4,22,4.47140499404088,
4,4,23,4.42258706798958,
,4,24,4.39236924049368,
,4,25,4.35375026333885,
,4,26,4.3094728200282,
2.5,4,27,4.30075601651602,
2.5,4,28,4.28707215584157,
2.5,4,29,4.22743115174752,
,4,30,4.19946160050088,
,4,31,4.15404181187661,
,4,32,4.10407237854408,
,4,33,4.08412539132441,
,4,34,4.03052537274951,
,4,35,4.00475867907324,
,4,36,4.00008786226227,
,4,37,3.96323071669615,
,4,38,3.91485651467782,
,4,39,3.88375565066867,
,4,40,3.83740423406402,
,4,41,3.79605982453865,
,4,42,3.76817260465645,
,4,43,3.70000004768372,
7.5,4,44,3.70000004768372,
7.5,4,45,3.70000004768372,
7.5,4,46,3.63599989097915,
7.5,4,47,3.60567093523469,
7.5,4,48,3.56465984945559,
2.5,4,49,3.52008363508664,
2.5,4,50,3.48509930203717,
,4,51,3.44271689024553,
,4,52,3.40000009536743,
,4,53,3.40000009536743,
,4,54,3.39169625411172,
,4,55,3.31355840589229,
2.5,4,56,3.29999995231628,
,4,57,3.24217468747214,
